Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/1/2016,0:00:14,12/1/2016,0:01:07,AlarmRateRamp|1,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:00:35,12/1/2016,0:01:07,AlarmRateRamp|2,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:00:56,12/1/2016,0:01:07,AlarmRateRamp|3,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:01:09,12/1/2016,0:02:59,AlarmRateRamp|4,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:01:28,12/1/2016,0:02:59,AlarmRateRamp|5,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:01:49,12/1/2016,0:02:59,AlarmRateRamp|6,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:02:09,12/1/2016,0:02:59,AlarmRateRamp|7,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:02:29,12/1/2016,0:02:59,AlarmRateRamp|8,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:02:49,12/1/2016,0:02:59,AlarmRateRamp|9,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:03:01,12/1/2016,0:04:45,AlarmRateRamp|10,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:03:19,12/1/2016,0:04:45,AlarmRateRamp|11,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:03:38,12/1/2016,0:04:45,AlarmRateRamp|12,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:03:58,12/1/2016,0:04:45,AlarmRateRamp|13,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:04:17,12/1/2016,0:04:45,AlarmRateRamp|14,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:04:35,12/1/2016,0:04:45,AlarmRateRamp|15,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:04:47,12/1/2016,0:06:26,AlarmRateRamp|16,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:05:04,12/1/2016,0:06:26,AlarmRateRamp|17,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:05:23,12/1/2016,0:06:26,AlarmRateRamp|18,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:05:41,12/1/2016,0:06:26,AlarmRateRamp|19,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:05:59,12/1/2016,0:06:26,AlarmRateRamp|20,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:06:17,12/1/2016,0:06:26,AlarmRateRamp|21,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:06:28,12/1/2016,0:08:03,AlarmRateRamp|22,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:06:44,12/1/2016,0:08:03,AlarmRateRamp|23,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:07:02,12/1/2016,0:08:03,AlarmRateRamp|24,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:07:19,12/1/2016,0:08:03,AlarmRateRamp|25,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:07:37,12/1/2016,0:08:03,AlarmRateRamp|26,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:07:54,12/1/2016,0:08:03,AlarmRateRamp|27,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:08:05,12/1/2016,0:09:36,AlarmRateRamp|28,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:08:21,12/1/2016,0:09:36,AlarmRateRamp|29,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:08:37,12/1/2016,0:09:36,AlarmRateRamp|30,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:08:54,12/1/2016,0:09:36,AlarmRateRamp|31,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:09:11,12/1/2016,0:09:36,AlarmRateRamp|32,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:09:27,12/1/2016,0:09:36,AlarmRateRamp|33,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:09:38,12/1/2016,0:11:05,AlarmRateRamp|34,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:09:53,12/1/2016,0:11:05,AlarmRateRamp|35,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:10:09,12/1/2016,0:11:05,AlarmRateRamp|36,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:10:25,12/1/2016,0:11:05,AlarmRateRamp|37,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:10:41,12/1/2016,0:11:05,AlarmRateRamp|38,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:10:57,12/1/2016,0:11:05,AlarmRateRamp|39,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:11:07,12/1/2016,0:12:31,AlarmRateRamp|40,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:11:21,12/1/2016,0:12:31,AlarmRateRamp|41,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:11:37,12/1/2016,0:12:31,AlarmRateRamp|42,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:11:53,12/1/2016,0:12:31,AlarmRateRamp|43,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:12:08,12/1/2016,0:12:31,AlarmRateRamp|44,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:12:23,12/1/2016,0:12:31,AlarmRateRamp|45,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:12:33,12/1/2016,0:13:55,AlarmRateRamp|46,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:12:47,12/1/2016,0:13:55,AlarmRateRamp|47,Q2,WARNING,N/A,Limit Signal 2
12/1/2016,0:13:02,12/1/2016,0:13:55,AlarmRateRamp|48,Q3,WARNING,N/A,Limit Signal 3
12/1/2016,0:13:17,12/1/2016,0:13:55,AlarmRateRamp|49,Q4,TOLERANCE,N/A,Limit Signal 4
12/1/2016,0:13:32,12/1/2016,0:13:55,AlarmRateRamp|50,Q5,I&C ALARM,N/A,Limit Signal 5
12/1/2016,0:13:47,12/1/2016,0:13:55,AlarmRateRamp|51,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/1/2016,0:13:57,12/1/2016,0:15:16,AlarmRateRamp|52,Q1,ALARM,N/A,Limit Signal 1
12/1/2016,0:14:10,12/1/2016,0:15:16,AlarmRateRamp|53,Q2,WARNING,N/A,Limit Signal 2
