Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/3/2016,20:00:01,12/3/2016,20:01:51,AlarmRateRamp|1000,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:00:20,12/3/2016,20:01:51,AlarmRateRamp|1001,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:00:41,12/3/2016,20:01:51,AlarmRateRamp|1002,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:01:01,12/3/2016,20:01:51,AlarmRateRamp|1003,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:01:21,12/3/2016,20:01:51,AlarmRateRamp|1004,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:01:41,12/3/2016,20:01:51,AlarmRateRamp|1005,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:01:53,12/3/2016,20:03:37,AlarmRateRamp|1006,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:02:11,12/3/2016,20:03:37,AlarmRateRamp|1007,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:02:30,12/3/2016,20:03:37,AlarmRateRamp|1008,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:02:50,12/3/2016,20:03:37,AlarmRateRamp|1009,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:03:09,12/3/2016,20:03:37,AlarmRateRamp|1010,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:03:27,12/3/2016,20:03:37,AlarmRateRamp|1011,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:03:39,12/3/2016,20:05:18,AlarmRateRamp|1012,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:03:56,12/3/2016,20:05:18,AlarmRateRamp|1013,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:04:15,12/3/2016,20:05:18,AlarmRateRamp|1014,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:04:33,12/3/2016,20:05:18,AlarmRateRamp|1015,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:04:51,12/3/2016,20:05:18,AlarmRateRamp|1016,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:05:09,12/3/2016,20:05:18,AlarmRateRamp|1017,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:05:20,12/3/2016,20:06:55,AlarmRateRamp|1018,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:05:36,12/3/2016,20:06:55,AlarmRateRamp|1019,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:05:54,12/3/2016,20:06:55,AlarmRateRamp|1020,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:06:11,12/3/2016,20:06:55,AlarmRateRamp|1021,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:06:29,12/3/2016,20:06:55,AlarmRateRamp|1022,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:06:46,12/3/2016,20:06:55,AlarmRateRamp|1023,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:06:57,12/3/2016,20:08:28,AlarmRateRamp|1024,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:07:13,12/3/2016,20:08:28,AlarmRateRamp|1025,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:07:29,12/3/2016,20:08:28,AlarmRateRamp|1026,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:07:46,12/3/2016,20:08:28,AlarmRateRamp|1027,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:08:03,12/3/2016,20:08:28,AlarmRateRamp|1028,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:08:19,12/3/2016,20:08:28,AlarmRateRamp|1029,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:08:30,12/3/2016,20:09:57,AlarmRateRamp|1030,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:08:45,12/3/2016,20:09:57,AlarmRateRamp|1031,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:09:01,12/3/2016,20:09:57,AlarmRateRamp|1032,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:09:17,12/3/2016,20:09:57,AlarmRateRamp|1033,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:09:33,12/3/2016,20:09:57,AlarmRateRamp|1034,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:09:49,12/3/2016,20:09:57,AlarmRateRamp|1035,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:09:59,12/3/2016,20:11:23,AlarmRateRamp|1036,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:10:13,12/3/2016,20:11:23,AlarmRateRamp|1037,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:10:29,12/3/2016,20:11:23,AlarmRateRamp|1038,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:10:45,12/3/2016,20:11:23,AlarmRateRamp|1039,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:11:00,12/3/2016,20:11:23,AlarmRateRamp|1040,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:11:15,12/3/2016,20:11:23,AlarmRateRamp|1041,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:11:25,12/3/2016,20:12:47,AlarmRateRamp|1042,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:11:39,12/3/2016,20:12:47,AlarmRateRamp|1043,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:11:54,12/3/2016,20:12:47,AlarmRateRamp|1044,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:12:09,12/3/2016,20:12:47,AlarmRateRamp|1045,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:12:24,12/3/2016,20:12:47,AlarmRateRamp|1046,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:12:39,12/3/2016,20:12:47,AlarmRateRamp|1047,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:12:49,12/3/2016,20:14:08,AlarmRateRamp|1048,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:13:02,12/3/2016,20:14:08,AlarmRateRamp|1049,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:13:17,12/3/2016,20:14:08,AlarmRateRamp|1050,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:13:32,12/3/2016,20:14:08,AlarmRateRamp|1051,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:13:46,12/3/2016,20:14:08,AlarmRateRamp|1052,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:14:01,12/3/2016,20:14:08,AlarmRateRamp|1053,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:14:10,12/3/2016,20:15:27,AlarmRateRamp|1054,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:14:23,12/3/2016,20:15:27,AlarmRateRamp|1055,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:14:37,12/3/2016,20:15:27,AlarmRateRamp|1056,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:14:51,12/3/2016,20:15:27,AlarmRateRamp|1057,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:15:05,12/3/2016,20:15:27,AlarmRateRamp|1058,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:15:20,12/3/2016,20:15:27,AlarmRateRamp|1059,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:15:29,12/3/2016,20:16:44,AlarmRateRamp|1060,Q1,ALARM,N/A,Limit Signal 1
12/3/2016,20:15:41,12/3/2016,20:16:44,AlarmRateRamp|1061,Q2,WARNING,N/A,Limit Signal 2
12/3/2016,20:15:55,12/3/2016,20:16:44,AlarmRateRamp|1062,Q3,WARNING,N/A,Limit Signal 3
12/3/2016,20:16:09,12/3/2016,20:16:44,AlarmRateRamp|1063,Q4,TOLERANCE,N/A,Limit Signal 4
12/3/2016,20:16:23,12/3/2016,20:16:44,AlarmRateRamp|1064,Q5,I&C ALARM,N/A,Limit Signal 5
12/3/2016,20:16:37,12/3/2016,20:16:44,AlarmRateRamp|1065,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/3/2016,20:16:46,12/3/2016,20:17:59,AlarmRateRamp|1066,Q1,ALARM,N/A,Limit Signal 1
