Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/4/2016,1:00:15,12/4/2016,1:00:46,AlarmRateRamp|6400,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,1:00:36,12/4/2016,1:00:46,AlarmRateRamp|6401,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,1:00:48,12/4/2016,1:02:35,AlarmRateRamp|6402,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,1:01:07,12/4/2016,1:02:35,AlarmRateRamp|6403,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,1:01:27,12/4/2016,1:02:35,AlarmRateRamp|6404,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,1:01:47,12/4/2016,1:02:35,AlarmRateRamp|6405,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,1:02:06,12/4/2016,1:02:35,AlarmRateRamp|6406,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,1:02:26,12/4/2016,1:02:35,AlarmRateRamp|6407,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,1:02:37,12/4/2016,1:04:19,AlarmRateRamp|6408,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,1:02:55,12/4/2016,1:04:19,AlarmRateRamp|6409,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,1:03:14,12/4/2016,1:04:19,AlarmRateRamp|6410,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,1:03:32,12/4/2016,1:04:19,AlarmRateRamp|6411,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,1:03:51,12/4/2016,1:04:19,AlarmRateRamp|6412,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,1:04:10,12/4/2016,1:04:19,AlarmRateRamp|6413,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,1:04:21,12/4/2016,1:05:58,AlarmRateRamp|6414,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,1:04:38,12/4/2016,1:05:58,AlarmRateRamp|6415,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,1:04:56,12/4/2016,1:05:58,AlarmRateRamp|6416,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,1:05:14,12/4/2016,1:05:58,AlarmRateRamp|6417,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,1:05:32,12/4/2016,1:05:58,AlarmRateRamp|6418,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,1:05:49,12/4/2016,1:05:58,AlarmRateRamp|6419,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
