Begin Date,Begin Time,End Date,End Time,Alarm Tag,Alarm Id,Alarm Type,Alarm Priority,Description
12/4/2016,6:00:04,12/4/2016,6:01:15,AlarmRateRamp|3500,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,6:00:24,12/4/2016,6:01:15,AlarmRateRamp|3501,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,6:00:45,12/4/2016,6:01:15,AlarmRateRamp|3502,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,6:01:05,12/4/2016,6:01:15,AlarmRateRamp|3503,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,6:01:17,12/4/2016,6:03:03,AlarmRateRamp|3504,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,6:01:35,12/4/2016,6:03:03,AlarmRateRamp|3505,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,6:01:55,12/4/2016,6:03:03,AlarmRateRamp|3506,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,6:02:15,12/4/2016,6:03:03,AlarmRateRamp|3507,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,6:02:34,12/4/2016,6:03:03,AlarmRateRamp|3508,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,6:02:53,12/4/2016,6:03:03,AlarmRateRamp|3509,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,6:03:05,12/4/2016,6:04:46,AlarmRateRamp|3510,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,6:03:22,12/4/2016,6:04:46,AlarmRateRamp|3511,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,6:03:41,12/4/2016,6:04:46,AlarmRateRamp|3512,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,6:04:00,12/4/2016,6:04:46,AlarmRateRamp|3513,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,6:04:18,12/4/2016,6:04:46,AlarmRateRamp|3514,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,6:04:36,12/4/2016,6:04:46,AlarmRateRamp|3515,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,6:04:48,12/4/2016,6:06:24,AlarmRateRamp|3516,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,6:05:05,12/4/2016,6:06:24,AlarmRateRamp|3517,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,6:05:22,12/4/2016,6:06:24,AlarmRateRamp|3518,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,6:05:40,12/4/2016,6:06:24,AlarmRateRamp|3519,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,6:05:58,12/4/2016,6:06:24,AlarmRateRamp|3520,Q5,I&C ALARM,N/A,Limit Signal 5
12/4/2016,6:06:15,12/4/2016,6:06:24,AlarmRateRamp|3521,Q6,MANUAL OPERATOR RESPONSE,N/A,Limit Signal 6
12/4/2016,6:06:26,12/4/2016,6:07:58,AlarmRateRamp|3522,Q1,ALARM,N/A,Limit Signal 1
12/4/2016,6:06:42,12/4/2016,6:07:58,AlarmRateRamp|3523,Q2,WARNING,N/A,Limit Signal 2
12/4/2016,6:06:59,12/4/2016,6:07:58,AlarmRateRamp|3524,Q3,WARNING,N/A,Limit Signal 3
12/4/2016,6:07:16,12/4/2016,6:07:58,AlarmRateRamp|3525,Q4,TOLERANCE,N/A,Limit Signal 4
12/4/2016,6:07:33,12/4/2016,6:07:58,AlarmRateRamp|3526,Q5,I&C ALARM,N/A,Limit Signal 5
